config_details,average_reward,reward_std
m_3_L_2_Alpha_0.0_beta_0.0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3,3.25307,0.7017685338485903
m_3_L_2_Alpha_0.0_beta_0.0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3,3.883,0.5863559499143843
m_3_L_2_Alpha_0.0_beta_0.0_p1_20_p2_0_c_0_h_1_b1_10_b2_0_w_3_mean_demand_3_coef_of_var_0.3,3.648015,0.35317305924291564
m_3_L_2_Alpha_0.0_beta_0.0_p1_20_p2_0_c_0_h_1_b1_0_b2_5_w_3_mean_demand_3_coef_of_var_1e-06,4.799999999999998,1.7763568394002505e-15
m_3_L_2_Alpha_0.0_beta_0.0_p1_0_p2_0_c_0_h_1_b1_1000000_b2_0_w_3_mean_demand_3_coef_of_var_1e-06,-130000.0,0.0
m_3_L_2_Alpha_0.05_beta_0.05_p1_25_p2_15_c_0_h_1_b1_10_b2_5_w_3_mean_demand_3_coef_of_var_1e-06,4.8854999999999995,0.0
m_3_L_2_Alpha_0.1_beta_0.05_p1_25_p2_15_c_0_h_1_b1_10_b2_5_w_3_mean_demand_3_coef_of_var_1e-06,4.371000000000001,1.7763568394002505e-15
m_3_L_2_Alpha_0.15_beta_0.05_p1_25_p2_15_c_0_h_1_b1_10_b2_5_w_3_mean_demand_3_coef_of_var_1e-06,3.8564999999999974,1.3322676295501878e-15
m_3_L_2_Alpha_0.2_beta_0.05_p1_25_p2_15_c_0_h_1_b1_10_b2_5_w_3_mean_demand_3_coef_of_var_1e-06,3.341999999999999,8.881784197001252e-16
m_3_L_2_Alpha_0.05_beta_0.1_p1_25_p2_15_c_0_h_1_b1_10_b2_5_w_3_mean_demand_3_coef_of_var_1e-06,4.8854999999999995,0.0
m_3_L_2_Alpha_0.0_beta_0.0_p1_0_p2_0_c_0_h_1_b1_1000000_b2_0_w_3_mean_demand_3_coef_of_var_1e-06,-200000.0,0.0
m_3_L_2_Alpha_0.05_beta_0.05_p1_25_p2_15_c_0_h_1_b1_10_b2_5_w_3_mean_demand_3_coef_of_var_1e-06,4.8854999999999995,0.0
m_3_L_2_Alpha_0.1_beta_0.05_p1_25_p2_15_c_0_h_1_b1_10_b2_5_w_3_mean_demand_3_coef_of_var_1e-06,4.371000000000001,1.7763568394002505e-15
m_3_L_2_Alpha_0.15_beta_0.05_p1_25_p2_15_c_0_h_1_b1_10_b2_5_w_3_mean_demand_3_coef_of_var_1e-06,3.8564999999999974,1.3322676295501878e-15
m_3_L_2_Alpha_0.2_beta_0.05_p1_25_p2_15_c_0_h_1_b1_10_b2_5_w_3_mean_demand_3_coef_of_var_1e-06,3.341999999999999,8.881784197001252e-16
m_3_L_2_Alpha_0_beta_0_p1_0_p2_0_c_0_h_1_b1_1000000_b2_0_w_3_mean_demand_3_coef_of_var_1e-06,-60000.0,0.0
m_3_L_2_Alpha_0_beta_0_p1_0_p2_0_c_0_h_1_b1_1000000_b2_0_w_3_mean_demand_3_coef_of_var_1e-06,-2.1900000000000004,4.440892098500626e-16
m_3_L_2_Alpha_0_beta_0_p1_0_p2_0_c_0_h_1_b1_1000000_b2_0_w_3_mean_demand_3_coef_of_var_1e-06,-90002.02,1.4551915228366852e-11
m_3_L_2_Alpha_0_beta_0_p1_0_p2_0_c_0_h_1_b1_1000000_b2_0_w_3_mean_demand_3_coef_of_var_1e-06,-140000.0,0.0
m_3_L_2_Alpha_0_beta_0_p1_0_p2_0_c_0_h_1_b1_1000000_b2_0_w_3_mean_demand_3_coef_of_var_1e-06,-140000.0,0.0
m_3_L_2_Alpha_0_beta_0_p1_0_p2_0_c_0_h_1_b1_1000000_b2_0_w_3_mean_demand_3_coef_of_var_1e-06,-140000.03,0.0
m_3_L_2_Alpha_0_beta_0_p1_0_p2_0_c_0_h_1_b1_1000000_b2_0_w_3_mean_demand_3_coef_of_var_1e-06,-180000.0,0.0
m_3_L_2_Alpha_0_beta_0_p1_0_p2_0_c_0_h_1_b1_1000000_b2_0_w_3_mean_demand_3_coef_of_var_1e-06,-200000.0,0.0
m_3_L_2_Alpha_0_beta_0_p1_0_p2_0_c_0_h_1_b1_1000000_b2_0_w_3_mean_demand_3_coef_of_var_1e-06,-130000.0,0.0
