demand,expired_items,stock,in_transit,lost_sales,satisfied_demand,orders,average_reward,reward_std,config_details,avg_reward,std_reward
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
2.89,0.0,3.3850000000000002,5.45,0.755,2.1350000000000002,2.875,0.0,0.0,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.836,0.21183484132691674
3.115,0.0,3.085,5.49,0.27999999999999997,2.225,2.8850000000000002,-0.03280000000000001,0.03359892840570632,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.328,0.1909869105462466
3.0599999999999996,0.0,3.105,5.410000000000001,0.375,2.1499999999999995,2.855,-0.043000000000000003,0.04049152184130288,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.4299999999999999,0.2631919451655009
2.9999999999999996,0.0,3.3049999999999997,5.5600000000000005,0.225,2.22,2.9200000000000004,-0.029150000000000002,0.030756950897902573,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.2915,0.14883799918031687
3.1500000000000004,0.0,3.0999999999999996,5.5,0.1,2.3499999999999996,2.9,-0.015,0.008273773790785985,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.15000000000000002,0.06000000000000001
2.45,0.0,4.3,5.7,0.05,1.9,3.0,-0.021000000000000005,0.014768224860230193,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.21000000000000002,0.08000000000000002
2.75,0.0,3.8499999999999996,5.5,0.0,2.1500000000000004,2.9,-0.0125,0.005956125918740103,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.125,0.0050000000000000044
3.7,0.0,2.75,5.7,0.5,2.4,3.0,-0.0505,0.04172541433067917,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.505,0.0050000000000000044
2.5,0.0,3.8,5.6,0.05,2.05,2.95,-0.0165,0.01685672724477568,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.165,0.024999999999999994
3.3,0.0,2.8,5.7,0.30000000000000004,2.3499999999999996,3.0,-0.031,0.020763295516102308,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.31000000000000005,0.11000000000000001
2.9000000000000004,0.0,3.2,5.6,0.25,2.25,2.95,-0.0305,0.040137572454332845,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.305,0.10500000000000002
2.75,0.0,3.5999999999999996,5.6,0.05,2.1,2.95,-0.0145,0.01476527711726761,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.145,0.10499999999999998
2.86,0.0,3.6199999999999997,5.58,0.16,2.1399999999999997,2.94,-0.0258,0.02394173625897432,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.258,0.10759182125050212
3.04,0.0,3.5,5.659999999999999,0.18,2.2,2.98,-0.0262,0.03510453783655854,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.262,0.07054076835419358
2.94,0.0,3.2399999999999998,4.640000000000001,0.13999999999999999,2.2,2.9200000000000004,-0.0232,0.023811720555049862,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.23200000000000004,0.06046486583132392
2.94,0.0,3.34,4.68,0.18,2.12,2.56,-0.028000000000000004,0.02608205556553327,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.28,0.10059821071967436
2.7800000000000002,0.0,3.28,4.32,0.38,1.9,2.72,-0.0492,0.05509181735149661,m_4_L_2_p_0_c_0_h_1_b_10_w_2_mean_demand_3_coef_of_var_0.3,-0.4920000000000001,0.15714961024450558
